Woonplaats;Woonplaats code;Mutatiedatum WPL;Einddatum WPL;Gemeente;Gemeente code;Ingangsdatum nieuwe gemeente;Gemeente beeindigd per
 't Goy;2054;;;Houten;321;;
 't Haantje;2164;;;Coevorden;109;;
 't Harde;1845;;;Elburg;230;;
 't Loo Oldebroek;3068;;;Oldebroek;269;;
 't Veld;2520;;;Niedorp;412;;01-01-2012
 't Veld;2520;;;Hollands Kroon;1911;01-01-2012;
 't Waar;1895;;;Oldambt;1895;;
 't Zand;2758;;;Zijpe;476;;
1e Exloërmond;1779;;;Borger-Odoorn;1681;;
2e Exloërmond;1780;;;Borger-Odoorn;1681;;
2e Valthermond;1781;;;Borger-Odoorn;1681;;
Aadorp;1925;;;Almelo;141;;
Aagtekerke;2774;;;Veere;717;;
Aalden;2145;;;Coevorden;109;;
Aalsmeer;2571;;;Aalsmeer;358;;
Aalsmeerderbrug;1600;;;Haarlemmermeer;394;;
Aalst;2626;;;Zaltbommel;297;;
Aalsum;3387;;;Dongeradeel;58;;
Aalten;1193;;;Aalten;197;;
Aardenburg;2961;;;Sluis;1714;;
Aarlanderveen;1079;;;Alphen aan den Rijn;484;;
Aarle-Rixtel;1445;;;Laarbeek;1659;;
Aartswoud;2788;;;Opmeer;432;;
Abbega;2400;;;Wymbritseradiel;683;;01-01-2011
Abbega;2400;;;Súdwest Fryslân;1900;01-01-2011;
Abbekerk;3147;;;Medemblik;420;;
Abbenbroek;1385;;;Bernisse;568;;
Abbenes;1608;;;Haarlemmermeer;394;;
Abcoude;1332;;;Abcoude;305;;01-01-2011
Abcoude;1332;;;De Ronde Venen;736;01-01-2011;
Achlum;1364;;;Franekeradeel;70;;
Achterveld;1063;;;Barneveld;203
Achterveld;2640;;;Leusden;327
Achthuizen;2131;;;Oostflakkee;580
Achtmaal;3493;;;Zundert;879
Acquoy;3211;01-06-2010;14-12-2011;Geldermalsen;236
Acquoy;3527;24-11-2011;;Geldermalsen;236
Adorp;2464;;;Winsum;53
Aduard;2114;;;Zuidhorn;56
Aerdenhout;2652;;;Bloemendaal;377
Aerdt;2976;;;Rijnwaarden;196
Afferden;2902;;;Druten;225
Afferden L;1122;;;Bergen (L);893
Agelo;1407;;;Dinkelland;1774
Akersloot;2267;;;Castricum;383
Akkrum;2525;;;Boarnsterhim;55
Akmarijp;2484;;;Skarsterlân;51
Albergen;1283;;;Tubbergen;183;;
Alblasserdam;2386;;;Alblasserdam;482;;
Alde Leie;3224;;;Leeuwarderadeel;81;;
Aldeboarn;2532;;;Boarnsterhim;55;;
Aldtsjerk;2441;;;Tytsjerksteradiel;737;;
Alem;1623;;;Maasdriel;263;;
Alkmaar;2348;;;Alkmaar;361;;
Allingawier;2301;;;Wûnseradiel;710;;01-01-2011
Allingawier;2301;;;Súdwest Fryslân;1900;01-01-2011;
Almelo;1924;;;Almelo;141;;
Almen;1334;;;Lochem;262;;
Almere;1270;;;Almere;34;;
Almkerk;3300;;;Woudrichem;874;;
Alphen;1766;;;West Maas en Waal;668;;
Alphen;3432;;;Alphen-Chaam;1723;;
Alphen aan den Rijn;1080;;;Alphen aan den Rijn;484;;
Alteveer;1633;;;Noordenveld;1699
Alteveer;3079;;;Stadskanaal;37
Alteveer;3160;;;De Wolden;1690
Alteveer gem Hoogeveen;1810;;;Hoogeveen;118
Altforst;1767;;;West Maas en Waal;668
Ambt Delden;1438;;;Hof van Twente;1735
Ameide;2106;;;Zederik;707
Amen;1147;;;Aa en Hunze;1680
America;1026;;;Horst aan de Maas;1507
Amerongen;3337;;;Utrechtse Heuvelrug;1581
Amersfoort;1664;;;Amersfoort;307
Ammerstol;2367;;;Bergambacht;491
Ammerzoden;1624;;;Maasdriel;263
Amstelhoek;1932;;07-02-2012;De Ronde Venen;736
Amstelhoek;3547;07-02-2012;;De Ronde Venen;736
Amstelveen;1050;;;Amstelveen;362
Amstenrade;2099;;;Schinnen;962;;
Amsterdam;1024;;;Amsterdam;363;;
Amsterdam Zuidoost;1025;;;Amsterdam;363;;
Andel;3301;;;Woudrichem;874;;
Andelst;1862;;;Overbetuwe;1734;;
Anderen;1148;;;Aa en Hunze;1680;;
Andijk;1053;;;Andijk;364;;01-01-2011
Andijk;1053;;;Medemblik;420;01-01-2011;
Ane;1537;;;Hardenberg;160;;
Anerveen;1538;;;Hardenberg;160;;
Anevelde;1539;;;Hardenberg;160;;
Angeren;3133;;;Lingewaard;1705;;
Angerlo;1299;;;Zevenaar;299;;
Anjum;3388;;;Dongeradeel;58;;
Ankeveen;2999;;;Wijdemeren;1696;;
Anloo;1149;;;Aa en Hunze;1680;;
Anna Paulowna;3185;;;Anna Paulowna;366;;01-01-2012
Anna Paulowna;3185;;;Hollands Kroon;1911;01-01-2012;
Annen;1150;;;Aa en Hunze;1680;;
Annerveenschekanaal;1151;;;Aa en Hunze;1680;;
Ansen;3104;;;Westerveld;1701;;
Ansen;3161;;;De Wolden;1690;;
Apeldoorn;2247;;;Apeldoorn;200;;
Appelscha;1753;;;Ooststellingwerf;85;;
Appeltern;1768;;;West Maas en Waal;668;;
Appingedam;3386;;;Appingedam;3;;
Arcen;3140;;;Venlo;983;;
Arkel;1432;;;Giessenlanden;689;;
Arnemuiden;1008;;;Middelburg;687;;
Arnhem;1296;;;Arnhem;202;;
Arriën;2547;;;Ommen;175;;
Arum;2302;;;Wûnseradiel;710;;01-01-2011
Arum;2302;;;Súdwest Fryslân;1900;01-01-2011;
Asch;3370;;;Buren;214;;
Asperen;2353;;;Lingewaal;733;;
Assen;2391;;;Assen;106;;
Assendelft;1878;;;Zaanstad;479;;
Asten;2928;;;Asten;743;;
Augsbuurt;3307;;;Kollumerland en Nieuwkruisland;79;;
Augustinusga;3173;;;Achtkarspelen;59;;
Austerlitz;2824;;;Zeist;355;;
Avenhorn;1183;;;Koggenland;1598;;
Axel;1128;;;Terneuzen;715;;
Azewijn;2202;;;Montferland;1955;;
Baaiduinen;2621;;;Terschelling;93;;
Baaium;2008;;;Littenseradiel;140;;
Baak;1527;;;Bronckhorst;1876;;
Baambrugge;1333;;;Abcoude;305;;01-01-2011
Baambrugge;1333;;;De Ronde Venen;736;01-01-2011
Baard;2009;;;Littenseradiel;140;
Baarland;1251;;;Borsele;654;
Baarle-Nassau;2883;;;Baarle-Nassau;744;
Baarlo;2602;;;Peel en Maas;1894;
Baarlo;2691;;;Steenwijkerland;1708;
Baarn;1092;;;Baarn;308;
Baars;2692;;;Steenwijkerland;1708;
Babberich;1298;;;Zevenaar;299;
Babyloniënbroek;1951;;;Aalburg;738;
Bad Nieuweschans;1420;;;Oldambt;1895;
Badhoevedorp;1617;;;Haarlemmermeer;394;
Baexem;2940;;;Leudal;1640;
Baflo;2465;;;Winsum;53;
Bakel;2090;;;Gemert-Bakel;1652;
Bakhuizen;1673;;;Gaasterlân-Sleat;653;
Bakkeveen;3342;;;Opsterland;86;;
Balgoij;2570;;;Wijchen;296;;
Balinge;3005;;;Midden-Drenthe;1731;;
Balk;1674;;;Gaasterlân-Sleat;653;;
Balkbrug;1540;;;Hardenberg;160;;
Balloërveld;1153;;;Aa en Hunze;1680;;
Balloo;1152;;;Aa en Hunze;1680;;
Ballum;2587;;;Ameland;60;;
Baneheide;3067;;;Simpelveld;965;;
Banholt;1690;;;Margraten;936;;01-01-2011
Banholt;1690;;;Eijsden-Margraten;1903;01-01-2011;
Bant;1272;;;Noordoostpolder;171;;
Bantega;2239;;;Lemsterland;82;;
Barchem;1335;;;Lochem;262;;
Barendrecht;1594;;;Barendrecht;489;;
Barger-Compascuum;1987;;;Emmen;114;;
Barneveld;1054;;;Barneveld;203;;
Barsingerhorn;2514;;;Niedorp;412;;01-01-2012
Barsingerhorn;2514;;;Hollands Kroon;1911;01-01-2012;
Basse;2693;;;Steenwijkerland;1708;;
Batenburg;2568;;;Wijchen;296;;
Bathmen;2854;;;Deventer;150;;
Bavel;1703;;;Breda;758;;
Bavel AC;3437;;;Alphen-Chaam;1723;;
Bears;2010;;;Littenseradiel;140;;
Bedum;2829;;;Bedum;5;;
Beegden;1918;;;Maasgouw;1641;;
Beek;1670;;;Beek;888;;
Beek;2203;;;Montferland;1955;;
Beek;2872;;;Ubbergen;282;;
Beek en Donk;1446;;;Laarbeek;1659;;
Beekbergen;2258;;;Apeldoorn;200;;
Beemte Broekland;2254;;;Apeldoorn;200
Beers NB;1449;;;Cuijk;1684
Beerta;1418;23-01-2008;07-04-2011;Oldambt;1895
Beerta;3508;07-04-2011;;Oldambt;1895
Beerze;2548;;;Ommen;175
Beerzerveld;2549;;;Ommen;175
Beesd;3213;;;Geldermalsen;236
Beesel;1950;;;Beesel;889
Beets;1837;;;Zeevang;478
Beetsterzwaag;3343;;;Opsterland;86
Beilen;3006;;;Midden-Drenthe;1731
Beinsdorp;1610;;;Haarlemmermeer;394
Belfeld;1476;;;Venlo;983
Bellingwolde;2231;;;Bellingwedde;7
Beltrum;1661;;;Berkelland;1859
Belt-Schutsloot;2694;;;Steenwijkerland;1708
Bemelen;1691;;;Margraten;936;;01-01-2011
Bemelen;1691;;;Eijsden-Margraten;1903;01-01-2011;
Bemmel;3131;;;Lingewaard;1705;;
Beneden-Leeuwen;1769;;;West Maas en Waal;668;;
Bennebroek;1391;;03-01-2012;Bloemendaal;377;;
Bennebroek;3533;03-01-2012;;Bloemendaal;377;;
Bennekom;2766;;;Ede;228;;
Benneveld;2146;;;Coevorden;109;;
Benningbroek;3148;;;Medemblik;420;;
Benschop;1958;;;Lopik;331;;
Bentelo;1439;;;Hof van Twente;1735;;
Benthuizen;2853;;;Rijnwoude;1672;;
Bentveld;1306;;;Zandvoort;473;;
Berg en Dal;2290;;;Groesbeek;241;;
Berg en Dal;2873;;;Ubbergen;282;;
Berg en Terblijt;1716;;;Valkenburg aan de Geul;994;;
Bergambacht;2365;;;Bergambacht;491
Bergeijk;1457;;;Bergeijk;1724
Bergen (NH);3047;;;Bergen (NH);373
Bergen aan Zee;3046;;;Bergen (NH);373
Bergen L;1121;;;Bergen (L);893
Bergen op Zoom;1937;;;Bergen op Zoom;748
Bergentheim;1541;;;Hardenberg;160
Bergharen;2565;;;Wijchen;296
Berghem;3250;;;Oss;828
Bergschenhoek;1688;;;Lansingerland;1621
Beringe;3438;;;Peel en Maas;1894
Berkel en Rodenrijs;1687;;;Lansingerland;1621
Berkel-Enschot;1044;;;Tilburg;855
Berkenwoude;2366;;;Bergambacht;491
Berkhout;1184;;;Koggenland;1598
Berlicum;2057;;;Sint-Michielsgestel;845
Berlicum;3557;reservering;;Sint-Michielsgestel;845;;
Berltsum;2724;;;Menaldumadeel;83;;01-01-2011
Berltsum;2724;;;Menameradiel;1908;01-01-2011;
Bern;2627;;;Zaltbommel;297;;
Best;1456;;;Best;753;;
Beugen;1214;;;Boxmeer;756;;
Beuningen;1711;;;Losser;168;;
Beuningen Gld;2751;;;Beuningen;209;;
Beusichem;3371;;;Buren;214;;
Beutenaken;1230;;;Gulpen-Wittem;1729;;
Beverwijk;2735;;;Beverwijk;375;;
Biddinghuizen;2429;;;Dronten;303;;
Bierum;3232;;;Delfzijl;10;;
Biervliet;1129;;;Terneuzen;715;;
Biervliet;2975;;;Sluis;1714;;
Biest-Houtakker;1309;;;Hilvarenbeek;798;;
Biezenmortel;1425;;;Haaren;788;;
Biggekerke;2775;;;Veere;717;;
Bilthoven;2935;;;De Bilt;310;;
Bingelrade;2845;;;Onderbanken;881;;
Bitgum;2722;;;Menaldumadeel;83;;01-01-2011
Bitgum;2722;;;Menameradiel;1908;01-01-2011;
Bitgummole;2723;;;Menaldumadeel;83;;01-01-2011
Bitgummole;2723;;;Menameradiel;1908;01-01-2011;
Bladel;1064;;;Bladel;1728;;
Blankenham;2695;;;Steenwijkerland;1708;;
Blaricum;2828;;;Blaricum;376;;
Blauwestad;3319;08-02-2010;07-04-2011;Oldambt;1895;;
Blauwestad;3509;07-04-2011;;Oldambt;1895;;
Blauwhuis;2401;;;Wymbritseradiel;683;;01-01-2011
Blauwhuis;2401;;;Súdwest Fryslân;1900;01-01-2011;
Bleiswijk;1689;;;Lansingerland;1621;;
Blesdijke;1720;;;Weststellingwerf;98;;
Bleskensgraaf ca;1980;;;Graafstroom;693;;
Blessum;2725;;;Menaldumadeel;83;;01-01-2011
Blessum;2725;;;Menameradiel;1908;01-01-2011;
Blije;3199;;;Ferwerderadiel;1722;;
Blijham;2232;;;Bellingwedde;7;;
Blitterswijck;1856;;;Venray;984;;
Bloemendaal;2654;;;Bloemendaal;377;;
Blokker;2462;;;Hoorn;405;;
Blokzijl;2696;;;Steenwijkerland;1708;;
Boazum;2011;;;Littenseradiel;140;;
Bocholtz;3066;;;Simpelveld;965;;
Bodegraven;2665;;;Bodegraven;497;;01-01-2011
Bodegraven;2665;;;Bodegraven-Reeuwijk;1901;01-01-2011;
Boekel;3138;;;Boekel;755;;
Boelenslaan;3174;;;Achtkarspelen;59;;
Boer;1371;;;Franekeradeel;70;;
Boerakker;2259;;;Marum;25;;
Boerakker;2339;;;Leek;22;;
Boesingheliede;1615;;;Haarlemmermeer;394;;
Boijl;1721;;;Weststellingwerf;98;;
Boksum;2726;;;Menaldumadeel;83;;01-01-2011
Boksum;2726;;;Menameradiel;1908;01-01-2011;
Bolsward;2079;;;Bolsward;64;;01-01-2011
Bolsward;2079;;;Súdwest Fryslân;1900;01-01-2011;
Bontebok;2193;;;Heerenveen;74;;
Boornbergum;3275;;;Smallingerland;90;;
Boornzwaag;2485;;;Skarsterlân;51;;
Borculo;1659;;;Berkelland;1859;;
Borger;1782;;;Borger-Odoorn;1681;;
Borgercompagnie;1242;;;Veendam;47;;
Borgercompagnie;2275;;;Menterwolde;1987;;
Borgsweer;3233;;;Delfzijl;10
Born;2808;;;Sittard-Geleen;1883
Borne;2049;07-10-2008;01-06-2011;Borne;147
Borne;3511;01-06-2011;;Borne;147
Bornerbroek;1926;;;Almelo;141
Bornwird;3389;;;Dongeradeel;58
Borssele;1252;;;Borsele;654
Bosch en Duin;2823;;;Zeist;355
Boschoord;3105;;;Westerveld;1701
Boskoop;2998;;;Boskoop;499
Bosschenhoofd;1249;;;Halderberge;1655
Botlek Rotterdam;3080;;;Rotterdam;599
Bourtange;2294;;;Vlagtwedde;48
Bovenkarspel;1102;;;Stede Broec;532
Boven-Leeuwen;1770;;;West Maas en Waal;668
Bovensmilde;3007;;;Midden-Drenthe;1731
Boxmeer;1215;;;Boxmeer;756;;
Boxtel;2439;;;Boxtel;757;;
Braamt;2204;;;Montferland;1955;;
Brakel;2628;;;Zaltbommel;297;;
Brandwijk;1981;;;Graafstroom;693;;
Brantgum;3390;;;Dongeradeel;58;;
Breda;1702;;;Breda;758;;
Bredevoort;1194;;;Aalten;197;;
Breedenbroek;1587;;;Oude IJsselstreek;1509;;
Breezand;3186;;;Anna Paulowna;366;;01-01-2012
Breezand;3186;;;Hollands Kroon;1911;01-01-2012;
Breezanddijk;2303;;;Wûnseradiel;710;;01-01-2011
Breezanddijk;2303;;;Súdwest Fryslân;1900;01-01-2011;
Breskens;2965;;;Sluis;1714;;
Breugel;2600;;;Son en Breugel;848;;
Breukelen;1392;;;Breukelen;311;;01-01-2011
Breukelen;1392;;;Stichtse Vecht;1904;01-01-2011
Breukeleveen;3004;;;Wijdemeren;1696;
Brielle;2368;;;Brielle;501;
Briltil;2115;;;Zuidhorn;56;
Britsum;3225;;;Leeuwarderadeel;81;
Britswert;2012;;;Littenseradiel;140;
Broek;2486;;;Skarsterlân;51;
Broek in Waterland;1940;;;Waterland;852;
Broek op Langedijk;1116;;;Langedijk;416;
Broekhuizen;1027;;;Horst aan de Maas;1507;
Broekhuizen;1086;;;Meppel;119;
Broekhuizenvorst;1028;;;Horst aan de Maas;1507;
Broekland;1497;;;Raalte;177;
Broeksterwâld;3265;;;Dantumadiel;1891;
Bronkhorst;1530;;;Bronckhorst;1876;
Bronneger;1783;;;Borger-Odoorn;1681;
Bronnegerveen;1784;;;Borger-Odoorn;1681
Brouwershaven;2674;;;Schouwen-Duiveland;1676
Bruchem;2629;;;Zaltbommel;297
Brucht;1542;;;Hardenberg;160
Bruchterveld;1543;;;Hardenberg;160
Bruinehaar;3320;;;Twenterand;1700
Bruinisse;2675;;;Schouwen-Duiveland;1676
Brummen;1111;;;Brummen;213
Brunssum;2849;;;Brunssum;899
Bruntinge;3008;;;Midden-Drenthe;1731
Buchten;2809;;;Sittard-Geleen;1883
Budel;1571;;;Cranendonck;1706
Budel-Dorplein;1573;;;Cranendonck;1706
Budel-Schoot;1572;;;Cranendonck;1706
Buggenum;2941;;;Leudal;1640
Buinen;1785;;;Borger-Odoorn;1681
Buinerveen;1786;;;Borger-Odoorn;1681;;
Buitenkaag;1607;;;Haarlemmermeer;394;;
Buitenpost;3175;;;Achtkarspelen;59;;
Bunde;1461;;;Meerssen;938;;
Bunne;2914;;;Tynaarlo;1730;;
Bunnik;2603;;;Bunnik;312;;
Bunschoten-Spakenburg;2237;;;Bunschoten;313;;
Burdaard;3200;;;Ferwerderadiel;1722;;
Buren;2589;;;Ameland;60;;
Buren;3372;;;Buren;214;;
Burgerbrug;2762;;;Zijpe;476;;
Burgerveen;1603;;;Haarlemmermeer;394;;
Burgh-Haamstede;2676;;;Schouwen-Duiveland;1676;;
Burgum;2451;;;Tytsjerksteradiel;737;;
Burgwerd;2304;;;Wûnseradiel;710;;01-01-2011
Burgwerd;2304;;;Súdwest Fryslân;1900;01-01-2011;
Burum;3308;;;Kollumerland en Nieuwkruisland;79;;
Bussum;1331;;;Bussum;381;;
Buurmalsen;3221;01-06-2010;14-12-2011;Geldermalsen;236;;
Buurmalsen;3373;;;Buren;214;;
Buurmalsen;3532;24-11-2011;;Geldermalsen;236;;
Cadier en Keer;1692;;;Margraten;936;;01-01-2011
Cadier en Keer;1692;;;Eijsden-Margraten;1903;01-01-2011;
Cadzand;2964;;;Sluis;1714;;
Callantsoog;2757;;;Zijpe;476;;
Capelle aan den IJssel;1105;;;Capelle aan den IJssel;502;;
Castelre;2885;;;Baarle-Nassau;744;;
Castenray;2328;;;Venray;984;;
Casteren;1067;;;Bladel;1728;;
Castricum;2268;;;Castricum;383;;
Chaam;3433;;;Alphen-Chaam;1723;;
Clinge;3092;;;Hulst;677;;
Coevorden;2147;;;Coevorden;109;;
Colijnsplaat;3190;;;Noord-Beveland;1695;;
Collendoorn;1544;;;Hardenberg;160;;
Colmschate;2855;;;Deventer;150;;
Cornwerd;2305;;;Wûnseradiel;710;;01-01-2011
Cornwerd;2305;;;Súdwest Fryslân;1900;01-01-2011;
Cothen;1304;;;Wijk bij Duurstede;352;;
Creil;1281;;;Noordoostpolder;171;;
Cromvoirt;1620;;;Vught;865;;
Cruquius;1612;;;Haarlemmermeer;394;;
Cuijk;1450;;;Cuijk;1684;;
Culemborg;2052;;;Culemborg;216;;
Daarle;1038;;;Hellendoorn;163;;
Daarlerveen;1039;;;Hellendoorn;163;;
Dalem;2300;;;Gorinchem;512;;
Dalen;2148;;;Coevorden;109;;
Dalerpeel;2149;;;Coevorden;109
Dalerveen;2150;;;Coevorden;109
Dalfsen;1237;;;Dalfsen;148
Dalmsholte;2550;;;Ommen;175
Damwâld;3266;;;Dantumadiel;1891
Darp;3106;;;Westerveld;1701
De Bilt;2934;;;De Bilt;310
De Blesse;1722;;;Weststellingwerf;98
De Bult;2697;;;Steenwijkerland;1708
De Cocksdorp;2737;;;Texel;448
De Falom;3267;;;Dantumadiel;1891
De Glind;1061;;;Barneveld;203
De Goorn;1185;;;Koggenland;1598
De Groeve;2924;;;Tynaarlo;1730
De Heen;1401;;;Steenbergen;851
De Heurne;1195;;;Aalten;197
De Hoef;1934;;07-02-2012;De Ronde Venen;736
de Hoef;3548;07-02-2012;;De Ronde Venen;736
De Hoeve;1723;;;Weststellingwerf;98
De Kiel;2151;;;Coevorden;109
De Klomp;2770;;;Ede;228
De Knipe;2190;;;Heerenveen;74
De Koog;2738;;;Texel;448
De Krim;1545;;;Hardenberg;160
De Kwakel;2063;;;Uithoorn;451
De Kwakel;3539;reservering;;Uithoorn;451
De Lier;2655;;;Westland;1783
de Lutte;1714;;;Losser;168
De Meern;3297;;;Utrecht;344
De Moer;3054;;;Loon op Zand;809
De Mortel;2093;;;Gemert-Bakel;1652
De Pol;2698;;;Steenwijkerland;1708
De Punt;2915;;;Tynaarlo;1730
De Rijp;1902;;;Graft-De Rijp;365
De Rijp;3553;13-04-2012;;Graft-de Rijp;365
De Rips;2094;;;Gemert-Bakel;1652
De Schiphorst;1085;;;Meppel;119
De Steeg;1502;;;Rheden;275
De Tike;3276;;;Smallingerland;90
De Veenhoop;3277;;;Smallingerland;90
De Waal;2739;;;Texel;448
De Weere;2789;;;Opmeer;432
De Westereen;3273;;;Dantumadiel;1891
de Wijk;3162;;;De Wolden;1690
De Wilgen;3278;;;Smallingerland;90
De Wilp;2260;;;Marum;25
de Woude;2269;;;Castricum;383
De Zilk;1928;;;Noordwijkerhout;576
Dearsum;2526;;;Boarnsterhim;55;;
Dedemsvaart;1546;;;Hardenberg;160;;
Dedgum;2306;;;Wûnseradiel;710;;01-01-2011
Dedgum;2306;;;Súdwest Fryslân;1900;01-01-2011;
Deelen;2773;;;Ede;228;;
Deest;2903;;;Druten;225;;
Deil;3217;;;Geldermalsen;236;;
Deinum;2727;;;Menaldumadeel;83;;01-01-2011
Deinum;2727;;;Menameradiel;1908;01-01-2011;
Delden;1440;;;Hof van Twente;1735;;
Delfgauw;1143;;;Pijnacker-Nootdorp;1926;;
Delfstrahuizen;2240;;;Lemsterland;82;;
Delft;2138;;;Delft;503;;
Delfzijl;3234;;;Delfzijl;10;;
Delwijnen;2630;;;Zaltbommel;297;;
Demen;3260;;;Oss;828;;
Den Andel;2466;;;Winsum;53;;
Den Bommel;2132;;;Oostflakkee;580;;
Den Burg;2740;;;Texel;448;;
Den Dolder;2822;;;Zeist;355;;
Den Dungen;2058;;;Sint-Michielsgestel;845;;
Den Dungen;3558;reservering;;Sint-Michielsgestel;845;;
Den Ham;2116;;;Zuidhorn;56;;
Den Ham;3321;;;Twenterand;1700;;
Den Helder;3056;;;Den Helder;400;;
Den Hoorn;2807;;;Midden-Delfland;1842;;
Den Hoorn Texel;2741;;;Texel;448;;
Den Horn;2117;;;Zuidhorn;56;;
Den Hout;2958;;;Oosterhout;826;;
Den Ilp;1329;;;Landsmeer;415;;
Den Oever;1489;;;Wieringen;462;;01-01-2012
Den Oever;1489;;;Hollands Kroon;1911;01-01-2012;
Den Velde;1547;;;Hardenberg;160
Denekamp;1408;;;Dinkelland;1774
Deurne;1774;;;Deurne;762
Deurningen;1409;;;Dinkelland;1774
Deurningen;1669;;;Oldenzaal;173
Deursen-Dennenburg;3256;;;Oss;828
Deurze;1154;;;Aa en Hunze;1680
Deventer;2856;;;Deventer;150
Didam;2205;;;Montferland;1955
Dieden;3259;;;Oss;828
Diemen;2144;;;Diemen;384
Diepenheim;1441;;;Hof van Twente;1735
Diepenveen;2857;;;Deventer;150
Dieren;1504;;;Rheden;275
Diessen;1308;;;Hilvarenbeek;798
Diever;3107;;;Westerveld;1701
Dieverbrug;3108;;;Westerveld;1701
Diffelen;1548;;;Hardenberg;160
Dijken;2487;;;Skarsterlân;51
Dinteloord;1402;;;Steenbergen;851
Dinxperlo;1196;;;Aalten;197
Diphoorn;2152;;;Coevorden;109
Dirkshorn;3289;;;Harenkarspel;395
Dirksland;2377;;;Dirksland;504
Dodewaard;1094;;;Neder-Betuwe;1740
Doenrade;2100;;;Schinnen;962
Doesburg;2142;;;Doesburg;221
Doetinchem;3246;;;Doetinchem;222
Doetinchem-West;3521;reservering;;Doetinchem;222
Doeveren;3514;01-09-2011;;Heusden;797
Doezum;2174;;;Grootegast;15
Dokkum;3391;;;Dongeradeel;58
Doldersum;3109;;;Westerveld;1701
Domburg;2776;;;Veere;717
Donderen;2916;;;Tynaarlo;1730
Dongen;2799;;;Dongen;766
Dongjum;1372;;;Franekeradeel;70
Doniaga;2488;;;Skarsterlân;51
Donkerbroek;1754;;;Ooststellingwerf;85
Doorn;3339;;;Utrechtse Heuvelrug;1581
Doornenburg;3134;;;Lingewaard;1705
Doornspijk;1846;;;Elburg;230
Doorwerth;2986;;;Renkum;274
Dordrecht;2351;;;Dordrecht;505
Dorst;2959;;;Oosterhout;826
Drachten;3279;;;Smallingerland;90
Drachten;3523;reservering ingetrokken;;Smallingerland;90
Drachten-Azeven;3344;;;Opsterland;86
Drachtstercompagnie;3280;;;Smallingerland;90;;
Dreischor;2677;;;Schouwen-Duiveland;1676;;
Drempt;1520;;;Bronckhorst;1876;;
Dreumel;1771;;;West Maas en Waal;668;;
Driebergen-Rijsenburg;3335;;;Utrechtse Heuvelrug;1581;;
